w	v	1
v	w	1
ar$	ir$	0.00280414150129
hio	hiö	0.00117370892019
ig	yg	0.0045643153527
r	yr	0.000599828620394
sku	sky	0.0029926335175
al	æl	0.0208333333333
^fu	fu	0.0011568718186
mi	my	0.00465313028765
lla	lli	0.00613079019074
k	kk	0.00539233915954
aff	ap	0.00116604477612
x	g	0.0174180327869
mæl	mil	0.00480109739369
ani	ænd	0.00115101289134
els	als	0.00117591721543
d	ss$	0.00190920661858
ier	iær	0.0025641025641
bai	be	0.00117260787992
^mæ	^mi	0.00736278447122
na$	næ$	0.00108318890815
gh$	$	0.00245316681534
lag	læg	0.00288248337029
dm	þm	0.00518378887842
elg	ælg	0.0030487804878
æl	ell	0.00173370319001
ant	att	0.00256649556696
ytt	ött	0.00116986429574
a	af	0.00173082248685
^ar	^ær	0.00572082379863
okk	ukk	0.003981264637
e$	æ$	0.00442176870748
ærþ	erþ	0.00116063138347
r$	m$	0.00182845744681
orþ	urþ	0.0016077170418
i$	um$	0.00238600212089
^op	^up	0.00529953917051
rhe	rhæ	0.0011786892975
spi	sp	0.00115526802218
^ma	ma	0.00870858113849
^br	r	0.00110180696342
uk	ok	0.0131698455949
ote	ute	0.00300786672837
s$s	^s	0.00299953853253
t$	þ$	0.00155666251557
^om	^um	0.00304307116105
^ma	zma	0.00276125743415
öd	yd	0.00228519195612
fa	fe	0.0020325203252
^ap	^af	0.00303454715219
o	u$	0.00304754164974
$	i$	0.00235190737103
ar	erf	0.00139664804469
i$	om$	0.00238600212089
æ	ia	0.00336402266289
agg	ag	0.00117041198502
yl	ul	0.00921052631579
t	tt	0.021670606777
æft	aft	0.0011693171188
ös	aus	0.00407239819005
rra	rre	0.00162262401484
man	maþ	0.0126284246575
gg	k	0.00397526501767
fi	^fi	0.00445344129555
æ$	æa$	0.00296861747243
pp	p	0.0134259259259
ndb	nb	0.001178133836
^vi	vi	0.00420168067227
tta	ttæ	0.00115526802218
$	an$	0.000180915951618
dha	þa	0.00305164319249
ög	oyg	0.00408719346049
^ga	^g	0.00114836931557
adi	eri	0.00210871602624
ott	ot	0.00578703703704
fe	f	0.00231696014829
hed	had	0.00117370892019
ghe	ve	0.00107112253642
